330000,2007-08-24 00:00:00Z,RH15 0SG,Flats/Maisonettes,Established,Leasehold,OAKVIEW COURT,FLAT 39,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
305000,2007-08-24 00:00:00Z,RH15 0SG,Flats/Maisonettes,New Build,Leasehold,OAKVIEW COURT,FLAT 34,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
330000,2007-08-24 00:00:00Z,RH15 0SG,Flats/Maisonettes,Established,Leasehold,OAKVIEW COURT,FLAT 33,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
315000,2007-08-24 00:00:00Z,RH15 0SG,Flats/Maisonettes,Established,Leasehold,OAKVIEW COURT,FLAT 10,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
340000,2007-08-24 00:00:00Z,RH15 0SG,Flats/Maisonettes,New Build,Leasehold,OAKVIEW COURT,FLAT 9,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
330000,2007-08-24 00:00:00Z,RH15 0SG,Flats/Maisonettes,Established,Leasehold,OAKVIEW COURT,FLAT 2,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
325000,2007-09-21 00:00:00Z,RH15 0SG,Flats/Maisonettes,Established,Leasehold,OAKVIEW COURT,FLAT 17,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
300000,2007-08-17 00:00:00Z,RH15 0SG,Flats/Maisonettes,New Build,Leasehold,OAKVIEW COURT,FLAT 38,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
299000,2007-03-05 00:00:00Z,RH15 0SW,Flats/Maisonettes,New Build,Leasehold,MAPLE COURT,FLAT 16,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589060000,-0.0962440000
290000,2007-09-05 00:00:00Z,RH15 0SG,Flats/Maisonettes,Established,Leasehold,OAKVIEW COURT,FLAT 29,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
300000,2007-08-24 00:00:00Z,RH15 0SG,Flats/Maisonettes,Established,Leasehold,OAKVIEW COURT,FLAT 4,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
325000,2007-10-09 00:00:00Z,RH15 0SG,Flats/Maisonettes,Established,Leasehold,OAKVIEW COURT,FLAT 22,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
295000,2007-11-16 00:00:00Z,RH15 0SG,Flats/Maisonettes,Established,Leasehold,OAKVIEW COURT,FLAT 7,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
310000,2007-01-22 00:00:00Z,RH15 0SW,Flats/Maisonettes,New Build,Leasehold,MAPLE COURT,FLAT 10,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589060000,-0.0962440000
290000,2007-11-01 00:00:00Z,RH15 0SG,Flats/Maisonettes,Established,Leasehold,OAKVIEW COURT,FLAT 24,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
305000,2007-08-20 00:00:00Z,RH15 0SG,Flats/Maisonettes,New Build,Leasehold,OAKVIEW COURT,FLAT 20,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
340000,2007-08-24 00:00:00Z,RH15 0SG,Flats/Maisonettes,New Build,Leasehold,OAKVIEW COURT,FLAT 5,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
305000,2007-08-22 00:00:00Z,RH15 0SG,Flats/Maisonettes,Established,Leasehold,OAKVIEW COURT,FLAT 30,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
330000,2007-08-22 00:00:00Z,RH15 0SG,Flats/Maisonettes,New Build,Leasehold,OAKVIEW COURT,FLAT 31,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
399000,2007-01-19 00:00:00Z,RH15 0SN,Flats/Maisonettes,New Build,Leasehold,MAES COURT,FLAT 2,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591170000,-0.0965060000
330000,2007-08-17 00:00:00Z,RH15 0SG,Flats/Maisonettes,New Build,Leasehold,OAKVIEW COURT,FLAT 1,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
289000,2007-01-18 00:00:00Z,RH15 0SW,Flats/Maisonettes,New Build,Leasehold,MAPLE COURT,FLAT 18,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589060000,-0.0962440000
325000,2007-08-24 00:00:00Z,RH15 0SG,Flats/Maisonettes,Established,Leasehold,OAKVIEW COURT,FLAT 8,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
295000,2007-11-09 00:00:00Z,RH15 0SW,Flats/Maisonettes,Established,Leasehold,MAPLE COURT,FLAT 14,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589060000,-0.0962440000
289000,2007-12-19 00:00:00Z,RH15 0SW,Flats/Maisonettes,New Build,Leasehold,MAPLE COURT,FLAT 7,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589060000,-0.0962440000
330000,2007-08-17 00:00:00Z,RH15 0SG,Flats/Maisonettes,Established,Leasehold,OAKVIEW COURT,FLAT 36,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
330000,2007-08-17 00:00:00Z,RH15 0SG,Flats/Maisonettes,New Build,Leasehold,OAKVIEW COURT,FLAT 35,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
375000,2008-12-08 00:00:00Z,RH15 0SZ,Flats/Maisonettes,New Build,Leasehold,MULBERRY WALK,FLAT 7,ST GEORGES PARK,DITCHLING COMMON,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589000000,-0.0952210000
280000,2008-03-27 00:00:00Z,RH15 0SG,Flats/Maisonettes,Established,Leasehold,OAKVIEW COURT,FLAT 14,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
355000,2008-11-18 00:00:00Z,RH15 0SY,Flats/Maisonettes,New Build,Leasehold,THE MEADOWS,FLAT 4,ST GEORGES PARK,DITCHLING COMMON,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9590630000,-0.0955830000
355000,2008-11-11 00:00:00Z,RH15 0SY,Flats/Maisonettes,New Build,Leasehold,THE MEADOWS,FLAT 2,ST GEORGES PARK,DITCHLING COMMON,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9590630000,-0.0955830000
300000,2008-02-22 00:00:00Z,RH15 0SG,Flats/Maisonettes,New Build,Leasehold,OAKVIEW COURT,FLAT 15,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
385000,2008-12-12 00:00:00Z,RH15 0SZ,Flats/Maisonettes,New Build,Leasehold,MULBERRY WALK,FLAT 18,DITCHLING COMMON,,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589000000,-0.0952210000
375000,2008-11-17 00:00:00Z,RH15 0SY,Flats/Maisonettes,New Build,Leasehold,THE MEADOWS,FLAT 1,ST GEORGES PARK,DITCHLING COMMON,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9590630000,-0.0955830000
435000,2008-12-19 00:00:00Z,RH15 0SZ,Flats/Maisonettes,New Build,Leasehold,MULBERRY WALK,FLAT 11,ST GEORGES PARK,DITCHLING COMMON,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589000000,-0.0952210000
350000,2008-07-06 00:00:00Z,RH15 0SG,Flats/Maisonettes,Established,Leasehold,OAKVIEW COURT,FLAT 2,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
340000,2008-03-20 00:00:00Z,RH15 0SG,Flats/Maisonettes,Established,Leasehold,OAKVIEW COURT,FLAT 35,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
330000,2008-12-15 00:00:00Z,RH15 0SZ,Flats/Maisonettes,Established,Leasehold,MULBERRY WALK,FLAT 22,ST GEORGES PARK,DITCHLING COMMON,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589000000,-0.0952210000
335000,2008-11-17 00:00:00Z,RH15 0SY,Flats/Maisonettes,New Build,Leasehold,THE MEADOWS,FLAT 3,ST GEORGES PARK,DITCHLING COMMON,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9590630000,-0.0955830000
370000,2008-11-28 00:00:00Z,RH15 0SZ,Flats/Maisonettes,New Build,Leasehold,MULBERRY WALK,FLAT 8,ST GEORGES PARK,DITCHLING COMMON,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589000000,-0.0952210000
545000,2008-11-27 00:00:00Z,RH15 0SZ,Flats/Maisonettes,New Build,Leasehold,MULBERRY WALK,FLAT 12,ST GEORGES PARK,DITCHLING COMMON,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589000000,-0.0952210000
321500,2008-11-14 00:00:00Z,RH15 0SY,Flats/Maisonettes,New Build,Leasehold,THE MEADOWS,FLAT 7,ST GEORGES PARK,DITCHLING COMMON,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9590630000,-0.0955830000
385000,2008-11-28 00:00:00Z,RH15 0SZ,Flats/Maisonettes,New Build,Leasehold,MULBERRY WALK,FLAT 1,ST GEORGES PARK,DITCHLING COMMON,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589000000,-0.0952210000
335000,2008-12-19 00:00:00Z,RH15 0SZ,Flats/Maisonettes,New Build,Leasehold,MULBERRY WALK,FLAT 15,ST GEORGES PARK,DITCHLING COMMON,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589000000,-0.0952210000
485000,2008-11-11 00:00:00Z,RH15 0SY,Flats/Maisonettes,New Build,Leasehold,THE MEADOWS,FLAT 10,ST GEORGES PARK,DITCHLING COMMON,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9590630000,-0.0955830000
385000,2008-11-17 00:00:00Z,RH15 0SY,Flats/Maisonettes,New Build,Leasehold,THE MEADOWS,FLAT 5,ST GEORGES PARK,DITCHLING COMMON,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9590630000,-0.0955830000
360000,2008-11-17 00:00:00Z,RH15 0SY,Flats/Maisonettes,New Build,Leasehold,THE MEADOWS,FLAT 6,ST GEORGES PARK,DITCHLING COMMON,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9590630000,-0.0955830000
305000,2008-06-10 00:00:00Z,RH15 0SG,Flats/Maisonettes,New Build,Leasehold,OAKVIEW COURT,FLAT 21,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
