69500,1996-09-27 00:00:00Z,SG10 6DD,Flats/Maisonettes,Established,Leasehold,THE RED LION,6,HIGH STREET,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8574490000,0.0723210000
265000,1996-08-12 00:00:00Z,SG10 6BN,Detached,Established,Freehold,8,,MILLERS VIEW,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8436570000,0.0639610000
269000,1996-11-19 00:00:00Z,SG10 6BT,Semi-Detached,Established,Freehold,BLAKES,,HIGH STREET,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8525360000,0.0715000000
25000,1996-02-16 00:00:00Z,SG10 6HQ,Semi-Detached,Established,Freehold,2,,NORTHEND COTTAGES,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8612250000,0.0723320000
46000,1996-11-01 00:00:00Z,SG10 6DP,Flats/Maisonettes,Established,Leasehold,12,,ASH MEADOW,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8484790000,0.0731140000
382000,1996-10-16 00:00:00Z,SG10 6AP,Detached,Established,Freehold,CAPTAINS,,HADHAM CROSS,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8448610000,0.0691870000
81300,1996-02-06 00:00:00Z,SG10 6BX,Semi-Detached,Established,Freehold,7,,THE SQUARE,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8555910000,0.0718600000
122000,1996-06-21 00:00:00Z,SG10 6DH,Detached,Established,Freehold,WICKHAM COTTAGE,,CHURCH LANE,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8566080000,0.0746350000
315000,1996-01-23 00:00:00Z,SG10 6AZ,Detached,Established,Freehold,HADHAM HEIGHTS,,BLACK BRIDGE LANE,,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8338040000,0.0649210000
70000,1996-12-20 00:00:00Z,SG10 6DP,Terraced,Established,Freehold,40,,ASH MEADOW,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8484790000,0.0731140000
555000,1996-12-05 00:00:00Z,SG10 6HU,Detached,Established,Freehold,CARLDANE COURT,,BROMLEY LANE,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8662090000,0.0615100000
280000,1996-09-30 00:00:00Z,SG10 6AL,Semi-Detached,Established,Freehold,HUNTLEIGH,,HADHAM CROSS,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8466530000,0.0696030000
185000,1996-05-15 00:00:00Z,SG10 6AN,Detached,Established,Freehold,ASHVIEW,,CULVER COURT,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8468740000,0.0707280000
139500,1996-06-28 00:00:00Z,SG10 6AN,Semi-Detached,Established,Freehold,BYFORDS,,MALTING LANE,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8468740000,0.0707280000
395000,1996-10-17 00:00:00Z,SG10 6AX,Detached,Established,Freehold,RHODA MOUNT,,STATION ROAD,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8434490000,0.0671010000
44000,1996-10-25 00:00:00Z,SG10 6DP,Flats/Maisonettes,Established,Leasehold,33,,ASH MEADOW,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8484790000,0.0731140000
315000,1996-09-10 00:00:00Z,SG10 6JN,Detached,Established,Freehold,BULLS COTTAGE,,DUCKETTS LANE,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8446030000,0.0985160000
68500,1996-08-09 00:00:00Z,SG10 6DP,Terraced,Established,Freehold,36,,ASH MEADOW,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8484790000,0.0731140000
227401,1996-08-23 00:00:00Z,SG10 6AL,Detached,Established,Freehold,ROSE COTTAGE,,HADHAM CROSS,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8466530000,0.0696030000
142000,1996-10-18 00:00:00Z,SG10 6EY,Semi-Detached,Established,Freehold,HADHAM MILL COTTAGES,2,WIDFORD ROAD,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8335350000,0.0669260000
98000,1996-02-26 00:00:00Z,SG10 6HG,Terraced,Established,Freehold,3,,WHIPROW COTTAGES,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8607480000,0.0723850000
165000,1996-08-15 00:00:00Z,SG10 6AP,Detached,Established,Freehold,CULVER COTTAGE,,HADHAM CROSS,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8448610000,0.0691870000
