86500,2007-04-20 00:00:00Z,L11 6LU,Terraced,Established,Leasehold,14,,KYNANCE ROAD,LIVERPOOL,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4604480000,-2.8905050000
120000,2007-11-14 00:00:00Z,L11 6LP,Terraced,Established,Freehold,25A,,WILLOW WAY,CROXTETH,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4610490000,-2.8931080000
125000,2007-11-09 00:00:00Z,L11 0AL,Terraced,New Build,Freehold,2,,HELFORD ROAD,LIVERPOOL,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4615930000,-2.8936770000
87950,2007-06-08 00:00:00Z,L11 0AD,Terraced,Established,Freehold,8,,NEWLYN ROAD,LIVERPOOL,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4603160000,-2.8960600000
125000,2007-11-09 00:00:00Z,L11 0AL,Terraced,New Build,Freehold,10,,HELFORD ROAD,LIVERPOOL,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4615930000,-2.8936770000
125000,2007-11-28 00:00:00Z,L11 0AL,Terraced,New Build,Freehold,4,,HELFORD ROAD,LIVERPOOL,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4615930000,-2.8936770000
135000,2007-11-09 00:00:00Z,L11 6LP,Terraced,New Build,Freehold,21,,WILLOW WAY,CROXTETH,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4610490000,-2.8931080000
80000,2007-08-06 00:00:00Z,L11 0DF,Terraced,Established,Freehold,16,,NEWDOWN ROAD,LIVERPOOL,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4600550000,-2.8961290000
115000,2007-12-18 00:00:00Z,L11 6LS,Semi-Detached,Established,Freehold,74,,WILLOW WAY,CROXTETH,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4601050000,-2.8919430000
90000,2008-02-01 00:00:00Z,L11 0AJ,Terraced,Established,Freehold,9,,MALPAS ROAD,LIVERPOOL,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4610210000,-2.8956530000
72000,2008-01-21 00:00:00Z,L11 0AP,Terraced,Established,Freehold,133,,PARKVIEW ROAD,LIVERPOOL,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4620770000,-2.8938220000
76000,2008-02-08 00:00:00Z,L11 0AX,Terraced,Established,Freehold,36,,PORTLEMOUTH ROAD,LIVERPOOL,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4606940000,-2.8996370000
95000,2009-11-20 00:00:00Z,L11 6LS,Terraced,Established,Freehold,70,,WILLOW WAY,CROXTETH,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4601050000,-2.8919430000
70000,2009-09-25 00:00:00Z,L11 0DF,Terraced,Established,Freehold,28,,NEWDOWN ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4600550000,-2.8961290000
65508,2009-02-25 00:00:00Z,L11 0AJ,Terraced,Established,Freehold,16,,MALPAS ROAD,LIVERPOOL,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4610210000,-2.8956530000
85000,2009-09-25 00:00:00Z,L11 0AP,Semi-Detached,Established,Freehold,127,,PARKVIEW ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4620770000,-2.8938220000
55000,2009-12-23 00:00:00Z,L11 6LS,Terraced,Established,Freehold,54,,WILLOW WAY,CROXTETH,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4601050000,-2.8919430000
112500,2009-06-09 00:00:00Z,L11 6LF,Semi-Detached,Established,Leasehold,91,,PARKVIEW ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4610750000,-2.8908340000
75000,2009-10-08 00:00:00Z,L11 6LF,Semi-Detached,Established,Freehold,93,,PARKVIEW ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4610750000,-2.8908340000
75000,2009-01-30 00:00:00Z,L11 0AH,Terraced,Established,Freehold,4,,NEWLYN WALK,LIVERPOOL,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4604150000,-2.8949470000
40000,2009-06-18 00:00:00Z,L11 0AQ,Semi-Detached,Established,Freehold,82,,PETHERICK ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4614200000,-2.8963990000
68000,2010-09-17 00:00:00Z,L11 0AX,Terraced,Established,Freehold,6,,PORTLEMOUTH ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4606940000,-2.8996370000
70000,2010-04-14 00:00:00Z,L11 0AH,Terraced,Established,Freehold,4,,NEWLYN WALK,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4604150000,-2.8949470000
50000,2010-07-27 00:00:00Z,L11 6LP,Terraced,Established,Freehold,53,,WILLOW WAY,CROXTETH,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4610490000,-2.8931080000
73000,2010-09-17 00:00:00Z,L11 0AP,Terraced,Established,Freehold,135,,PARKVIEW ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4620770000,-2.8938220000
50000,2011-02-04 00:00:00Z,L11 0AS,Terraced,Established,Leasehold,5,,CREDITON CLOSE,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4614290000,-2.8987040000
73000,2011-04-28 00:00:00Z,L11 0AP,Semi-Detached,Established,Freehold,141,,PARKVIEW ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4620770000,-2.8938220000
65000,2011-04-01 00:00:00Z,L11 0AS,Terraced,Established,Leasehold,6,,CREDITON CLOSE,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4614290000,-2.8987040000
