219995,2003-12-11 00:00:00Z,TN24 0GX,Terraced,New Build,Freehold,31,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1294280000,0.8857450000
164495,2003-10-31 00:00:00Z,TN24 0RP,Terraced,New Build,Freehold,28,,FAIRVIEW DRIVE,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291820000,0.8851720000
223995,2003-12-19 00:00:00Z,TN24 0JB,Terraced,New Build,Freehold,34,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1293660000,0.8860840000
150000,2003-08-29 00:00:00Z,TN24 0RP,Semi-Detached,New Build,Freehold,32,,FAIRVIEW DRIVE,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291820000,0.8851720000
224995,2003-12-11 00:00:00Z,TN24 0GX,Terraced,New Build,Freehold,33,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1294280000,0.8857450000
140500,2003-12-18 00:00:00Z,TN24 0SX,Flats/Maisonettes,New Build,Leasehold,61,,EAST STOUR WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1287580000,0.8841160000
136000,2003-12-22 00:00:00Z,TN24 0QT,Flats/Maisonettes,New Build,Leasehold,9,,JACOBS OAK,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1299410000,0.8832040000
119995,2003-11-28 00:00:00Z,TN24 0GX,Flats/Maisonettes,New Build,Leasehold,1,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1294280000,0.8857450000
124500,2003-11-28 00:00:00Z,TN24 0GX,Flats/Maisonettes,New Build,Leasehold,21,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1294280000,0.8857450000
124995,2003-11-28 00:00:00Z,TN24 0GX,Flats/Maisonettes,New Build,Leasehold,3,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1294280000,0.8857450000
123000,2003-12-18 00:00:00Z,TN24 0SX,Flats/Maisonettes,New Build,Leasehold,62,,EAST STOUR WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1287580000,0.8841160000
125000,2003-12-24 00:00:00Z,TN24 0JB,Flats/Maisonettes,New Build,Leasehold,26,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1293660000,0.8860840000
114995,2003-11-28 00:00:00Z,TN24 0GX,Flats/Maisonettes,New Build,Leasehold,7,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1294280000,0.8857450000
136500,2004-06-21 00:00:00Z,TN24 0PZ,Flats/Maisonettes,New Build,Leasehold,54,,RIVERBANK WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291550000,0.8815110000
131000,2004-04-30 00:00:00Z,TN24 0SX,Flats/Maisonettes,New Build,Leasehold,56,,EAST STOUR WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1287580000,0.8841160000
127500,2004-07-26 00:00:00Z,TN24 0PZ,Flats/Maisonettes,New Build,Leasehold,4,,RIVERBANK WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291550000,0.8815110000
120000,2004-06-30 00:00:00Z,TN24 0SX,Flats/Maisonettes,Established,Leasehold,62,,EAST STOUR WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1287580000,0.8841160000
142750,2004-06-15 00:00:00Z,TN24 0PZ,Flats/Maisonettes,New Build,Leasehold,56,,RIVERBANK WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291550000,0.8815110000
139000,2004-07-23 00:00:00Z,TN24 0PZ,Flats/Maisonettes,New Build,Leasehold,6,,RIVERBANK WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291550000,0.8815110000
177000,2004-03-31 00:00:00Z,TN24 0RX,Terraced,New Build,Freehold,1,,WHITE WILLOW CLOSE,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1294510000,0.8804720000
225995,2004-09-29 00:00:00Z,TN24 0JB,Terraced,New Build,Freehold,42,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1293660000,0.8860840000
142000,2004-12-10 00:00:00Z,TN24 0SX,Flats/Maisonettes,New Build,Leasehold,44,,EAST STOUR WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1287580000,0.8841160000
124000,2004-04-23 00:00:00Z,TN24 0GU,Flats/Maisonettes,New Build,Leasehold,119,,EARLSWORTH ROAD,WILLESBOROUGH,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1297960000,0.8817830000
182500,2004-01-30 00:00:00Z,TN24 0RP,Terraced,New Build,Freehold,52,,FAIRVIEW DRIVE,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291820000,0.8851720000
129000,2004-07-29 00:00:00Z,TN24 0PZ,Flats/Maisonettes,New Build,Leasehold,7,,RIVERBANK WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291550000,0.8815110000
183000,2004-06-25 00:00:00Z,TN24 0QZ,Terraced,New Build,Freehold,51,,FAIRVIEW DRIVE,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291650000,0.8836700000
