32000,1995-10-31 00:00:00Z,MK43 9AH,Semi-Detached,Established,Leasehold,THE ELMS,FLAT 3,WOBURN ROAD,KEMPSTON HARDWICK,BEDFORD,NORTH BEDFORDSHIRE,BEDFORDSHIRE,Standard,Addition,52.0966570000,-0.5107220000
489995,2016-08-04 00:00:00Z,MK43 9FY,Detached,New Build,Freehold,12,,TYSOE CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0967420000,-0.5184050000
26271,2016-12-07 00:00:00Z,MK43 9AQ,Other,New Build,Freehold,13,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Additional,Addition,52.0955560000,-0.5175330000
412995,2016-08-31 00:00:00Z,MK43 9FX,Detached,New Build,Freehold,13,,SIMMS CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0969630000,-0.5192960000
409995,2016-08-31 00:00:00Z,MK43 9FX,Detached,New Build,Freehold,21,,SIMMS CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0969630000,-0.5192960000
300000,2016-12-22 00:00:00Z,MK43 9AU,Detached,Established,Freehold,8,,HARRIS WAY,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0941890000,-0.5182200000
479995,2016-08-31 00:00:00Z,MK43 9FX,Detached,New Build,Freehold,17,,SIMMS CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0969630000,-0.5192960000
405995,2016-03-31 00:00:00Z,MK43 9FY,Detached,New Build,Freehold,10,,TYSOE CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0967420000,-0.5184050000
208000,2016-05-27 00:00:00Z,MK43 9AU,Semi-Detached,Established,Freehold,14,,HARRIS WAY,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0941890000,-0.5182200000
405995,2016-03-31 00:00:00Z,MK43 9FY,Detached,New Build,Freehold,8,,TYSOE CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0967420000,-0.5184050000
284995,2016-05-20 00:00:00Z,MK43 9FX,Detached,New Build,Freehold,8,,SIMMS CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0969630000,-0.5192960000
459995,2016-06-27 00:00:00Z,MK43 9FX,Detached,New Build,Freehold,12,,SIMMS CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0969630000,-0.5192960000
26271,2016-07-29 00:00:00Z,MK43 9AQ,Other,New Build,Freehold,5,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Additional,Addition,52.0955560000,-0.5175330000
26271,2016-07-29 00:00:00Z,MK43 9AQ,Other,New Build,Freehold,7,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Additional,Addition,52.0955560000,-0.5175330000
26271,2016-07-29 00:00:00Z,MK43 9AQ,Other,New Build,Freehold,9,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Additional,Addition,52.0955560000,-0.5175330000
26271,2016-07-29 00:00:00Z,MK43 9AQ,Other,New Build,Freehold,3,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Additional,Addition,52.0955560000,-0.5175330000
512995,2016-03-31 00:00:00Z,MK43 9FY,Detached,New Build,Freehold,6,,TYSOE CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0967420000,-0.5184050000
510000,2016-06-02 00:00:00Z,MK43 9BY,Detached,New Build,Freehold,59,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
354995,2016-05-27 00:00:00Z,MK43 9FY,Detached,New Build,Freehold,7,,TYSOE CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0967420000,-0.5184050000
354995,2016-05-26 00:00:00Z,MK43 9FY,Detached,New Build,Freehold,9,,TYSOE CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0967420000,-0.5184050000
474995,2016-05-20 00:00:00Z,MK43 9FY,Detached,New Build,Freehold,13,,TYSOE CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0967420000,-0.5184050000
492995,2016-06-03 00:00:00Z,MK43 9FY,Detached,New Build,Freehold,11,,TYSOE CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0967420000,-0.5184050000
237950,2016-12-22 00:00:00Z,MK43 9BQ,Semi-Detached,New Build,Freehold,9,,PILSBURY CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0962900000,-0.5179460000
239950,2016-12-22 00:00:00Z,MK43 9BQ,Semi-Detached,New Build,Freehold,11,,PILSBURY CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0962900000,-0.5179460000
299950,2016-12-22 00:00:00Z,MK43 9AQ,Detached,New Build,Freehold,24,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0955560000,-0.5175330000
239950,2016-12-23 00:00:00Z,MK43 9BQ,Semi-Detached,New Build,Freehold,13,,PILSBURY CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0962900000,-0.5179460000
209950,2016-12-21 00:00:00Z,MK43 9BQ,Semi-Detached,New Build,Freehold,3,,PILSBURY CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0962900000,-0.5179460000
349950,2016-12-22 00:00:00Z,MK43 9BQ,Detached,New Build,Freehold,5,,PILSBURY CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0962900000,-0.5179460000
349950,2016-12-22 00:00:00Z,MK43 9AQ,Detached,New Build,Freehold,1,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0955560000,-0.5175330000
237450,2016-12-23 00:00:00Z,MK43 9BQ,Semi-Detached,New Build,Freehold,7,,PILSBURY CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0962900000,-0.5179460000
492995,2016-08-25 00:00:00Z,MK43 9FY,Detached,New Build,Freehold,5,,TYSOE CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0967420000,-0.5184050000
409995,2016-08-26 00:00:00Z,MK43 9FX,Detached,New Build,Freehold,19,,SIMMS CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0969630000,-0.5192960000
