800000,1995-03-31 00:00:00Z,SG4 7BN,Detached,Established,Freehold,GRAVELEY HILL COTTAGE,,CHURCH LANE,GRAVELEY,HITCHIN,NORTH HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.9360830000,-0.1874000000
84500,2000-04-17 00:00:00Z,SG1 3XT,Terraced,New Build,Freehold,8,,ORWELL AVENUE,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9308720000,-0.1841430000
174995,2000-04-20 00:00:00Z,SG1 3XX,Detached,New Build,Freehold,21,,WENSUM ROAD,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306360000,-0.1834100000
237000,2000-12-15 00:00:00Z,SG1 3XY,Detached,New Build,Freehold,11,,RICCAT LANE,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9314350000,-0.1833830000
149950,2000-06-09 00:00:00Z,SG1 3XX,Detached,New Build,Freehold,4,,WENSUM ROAD,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306360000,-0.1834100000
91450,2000-07-27 00:00:00Z,SG1 3XU,Terraced,New Build,Freehold,11,,KENNETT WAY,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9303140000,-0.1834960000
160950,2000-12-01 00:00:00Z,SG1 3XY,Detached,New Build,Freehold,20,,RICCAT LANE,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9314350000,-0.1833830000
189950,2000-12-21 00:00:00Z,SG1 3XY,Detached,New Build,Freehold,22,,RICCAT LANE,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9314350000,-0.1833830000
120000,2000-12-08 00:00:00Z,SG1 3YN,Terraced,New Build,Freehold,5,,RYE CLOSE,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9301730000,-0.1855290000
131950,2000-08-18 00:00:00Z,SG1 3XX,Detached,New Build,Freehold,10,,WENSUM ROAD,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306360000,-0.1834100000
128500,2000-05-26 00:00:00Z,SG1 3XX,Semi-Detached,New Build,Freehold,3,,WENSUM ROAD,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306360000,-0.1834100000
152500,2000-04-20 00:00:00Z,SG1 3XX,Detached,New Build,Freehold,20,,WENSUM ROAD,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306360000,-0.1834100000
