312995,2020-07-31 00:00:00Z,MK43 2AA,Semi-Detached,New Build,Freehold,24,,FAULKNER GARDENS,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0610440000,-0.5615180000
599995,2020-08-26 00:00:00Z,MK43 2AA,Detached,New Build,Freehold,4,,FAULKNER GARDENS,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0610440000,-0.5615180000
544995,2020-08-27 00:00:00Z,MK43 2AL,Detached,New Build,Freehold,10,,COPPERWHEAT BANK,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0603810000,-0.5609850000
313995,2020-07-24 00:00:00Z,MK43 2AH,Semi-Detached,New Build,Freehold,15,,GEE VIEW,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0613860000,-0.5623240000
419995,2020-08-28 00:00:00Z,MK43 2AL,Detached,New Build,Freehold,1,,COPPERWHEAT BANK,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0603810000,-0.5609850000
609995,2020-01-31 00:00:00Z,MK43 2AA,Detached,New Build,Freehold,7,,FAULKNER GARDENS,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0610440000,-0.5615180000
459995,2020-03-18 00:00:00Z,MK43 2AL,Detached,New Build,Freehold,3,,COPPERWHEAT BANK,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0603810000,-0.5609850000
595000,2021-06-30 00:00:00Z,MK43 2AA,Detached,Established,Freehold,7,,FAULKNER GARDENS,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0610440000,-0.5615180000
585995,2021-02-26 00:00:00Z,MK43 2AA,Detached,New Build,Freehold,16,,FAULKNER GARDENS,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0610440000,-0.5615180000
469995,2021-03-12 00:00:00Z,MK43 2AJ,Detached,New Build,Freehold,7,,HARPER GROVE,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0613560000,-0.5612890000
449000,2021-05-07 00:00:00Z,MK43 0PA,Detached,Established,Freehold,THE BUNGALOW,,LOWER WOOD END,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0653260000,-0.5698270000
599995,2021-06-25 00:00:00Z,MK43 2AJ,Detached,New Build,Freehold,6,,HARPER GROVE,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0613560000,-0.5612890000
