284995,2017-04-28 00:00:00Z,RG40 1GS,Flats/Maisonettes,New Build,Leasehold,104,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
299995,2017-05-05 00:00:00Z,RG40 1JZ,Flats/Maisonettes,New Build,Leasehold,FOXLEYES COURT,FLAT 7,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4093190000,-0.8091870000
281995,2017-04-28 00:00:00Z,RG40 1JZ,Flats/Maisonettes,New Build,Leasehold,FOXLEYES COURT,FLAT 11,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4093190000,-0.8091870000
289995,2017-05-22 00:00:00Z,RG40 1JZ,Flats/Maisonettes,New Build,Leasehold,FOXLEYES COURT,FLAT 5,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4093190000,-0.8091870000
309000,2017-09-28 00:00:00Z,RG40 1LA,Flats/Maisonettes,New Build,Leasehold,11,,BREMNER WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4072650000,-0.8079760000
335000,2017-09-29 00:00:00Z,RG40 1LA,Flats/Maisonettes,New Build,Leasehold,15,,BREMNER WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4072650000,-0.8079760000
295000,2017-09-29 00:00:00Z,RG40 1LA,Flats/Maisonettes,New Build,Leasehold,9,,BREMNER WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4072650000,-0.8079760000
290000,2017-09-29 00:00:00Z,RG40 1LA,Flats/Maisonettes,New Build,Leasehold,1,,BREMNER WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4072650000,-0.8079760000
310000,2017-09-28 00:00:00Z,RG40 1LA,Flats/Maisonettes,New Build,Leasehold,7,,BREMNER WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4072650000,-0.8079760000
293000,2017-09-28 00:00:00Z,RG40 1LA,Flats/Maisonettes,New Build,Leasehold,5,,BREMNER WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4072650000,-0.8079760000
250000,2017-11-17 00:00:00Z,RG40 1JR,Flats/Maisonettes,Established,Freehold,4,,ASHMOLE PLACE,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4095480000,-0.8096270000
455000,2017-06-30 00:00:00Z,RG40 1LB,Semi-Detached,New Build,Freehold,27,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
449000,2017-06-29 00:00:00Z,RG40 1LB,Semi-Detached,New Build,Freehold,25,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
469000,2017-06-29 00:00:00Z,RG40 1LB,Semi-Detached,New Build,Freehold,29,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
309995,2017-01-27 00:00:00Z,RG40 1GS,Flats/Maisonettes,New Build,Leasehold,120,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
244995,2017-01-27 00:00:00Z,RG40 1GS,Flats/Maisonettes,New Build,Leasehold,100,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
244995,2017-01-27 00:00:00Z,RG40 1GS,Flats/Maisonettes,New Build,Leasehold,102,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Additional,Addition,51.4083020000,-0.8090990000
470000,2017-12-15 00:00:00Z,RG40 1LA,Terraced,New Build,Freehold,19,,BREMNER WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4072650000,-0.8079760000
475000,2017-12-15 00:00:00Z,RG40 1LA,Terraced,New Build,Freehold,25,,BREMNER WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4072650000,-0.8079760000
483000,2017-12-19 00:00:00Z,RG40 1LA,Terraced,New Build,Freehold,27,,BREMNER WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4072650000,-0.8079760000
484000,2017-12-15 00:00:00Z,RG40 1LA,Terraced,New Build,Freehold,23,,BREMNER WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4072650000,-0.8079760000
302000,2017-11-29 00:00:00Z,RG40 1GS,Flats/Maisonettes,New Build,Leasehold,204,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
317000,2017-11-30 00:00:00Z,RG40 1GS,Flats/Maisonettes,New Build,Leasehold,214,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
302000,2017-11-30 00:00:00Z,RG40 1GS,Flats/Maisonettes,New Build,Leasehold,206,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
312000,2017-11-29 00:00:00Z,RG40 1GS,Flats/Maisonettes,New Build,Leasehold,208,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
312000,2017-11-30 00:00:00Z,RG40 1GS,Flats/Maisonettes,New Build,Leasehold,210,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
293995,2017-05-26 00:00:00Z,RG40 1JZ,Flats/Maisonettes,New Build,Leasehold,FOXLEYES COURT,FLAT 8,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4093190000,-0.8091870000
295995,2017-04-28 00:00:00Z,RG40 1GS,Flats/Maisonettes,New Build,Leasehold,108,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
254995,2017-05-26 00:00:00Z,RG40 1JR,Flats/Maisonettes,New Build,Freehold,3,,ASHMOLE PLACE,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4095480000,-0.8096270000
279995,2017-05-26 00:00:00Z,RG40 1JZ,Flats/Maisonettes,New Build,Leasehold,FOXLEYES COURT,FLAT 10,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4093190000,-0.8091870000
469000,2017-05-26 00:00:00Z,RG40 1LB,Detached,New Build,Freehold,23,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
459000,2017-04-21 00:00:00Z,RG40 1LB,Semi-Detached,New Build,Freehold,19,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
302000,2017-06-26 00:00:00Z,RG40 1LB,Flats/Maisonettes,New Build,Leasehold,9,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
290995,2017-06-23 00:00:00Z,RG40 1JZ,Flats/Maisonettes,New Build,Leasehold,FOXLEYES COURT,FLAT 12,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4093190000,-0.8091870000
299995,2017-03-24 00:00:00Z,RG40 1GS,Flats/Maisonettes,New Build,Leasehold,124,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
478000,2017-09-29 00:00:00Z,RG40 1LA,Terraced,New Build,Freehold,21,,BREMNER WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4072650000,-0.8079760000
292995,2017-06-23 00:00:00Z,RG40 1JZ,Flats/Maisonettes,New Build,Leasehold,FOXLEYES COURT,FLAT 9,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4093190000,-0.8091870000
