1475000,2013-12-11 00:00:00Z,N1C 4AS,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT A5-2,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
860000,2013-12-12 00:00:00Z,N1C 4AT,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT B6-4,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
988000,2013-12-11 00:00:00Z,N1C 4AS,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT A5-1,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
415000,2013-12-02 00:00:00Z,N1C 4AW,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT C3-4,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
1200000,2013-12-10 00:00:00Z,N1C 4AW,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT C4-1,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
765000,2013-12-04 00:00:00Z,N1C 4AS,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT A2-1,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
995000,2013-12-05 00:00:00Z,N1C 4AW,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT C6-2,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
445000,2013-12-05 00:00:00Z,N1C 4AW,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT C5-2,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
775000,2013-12-03 00:00:00Z,N1C 4AS,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT A1-1,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
1045000,2013-12-05 00:00:00Z,N1C 4AT,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT B3-4,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
905000,2013-12-04 00:00:00Z,N1C 4AT,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT B2-1,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
2500000,2013-11-29 00:00:00Z,N1C 4AT,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT B7-1,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
