454950,2016-10-21 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,44,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
404950,2016-09-23 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,42,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
399950,2016-11-18 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,46,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
585950,2016-11-30 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,30,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
429950,2016-11-18 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,40,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
559950,2016-12-23 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,36,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
389950,2016-02-19 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,35,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
369950,2016-02-19 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,27,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
373950,2016-02-19 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,33,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
418950,2016-02-19 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,31,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
376950,2016-02-19 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,37,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
409950,2016-10-21 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,38,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
585950,2016-12-22 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,34,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
