194950,2019-03-29 00:00:00Z,YO43 3GR,Semi-Detached,New Build,Freehold,30,,CHAPMAN DRIVE,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8634560000,-0.6819410000
284950,2019-03-28 00:00:00Z,YO43 3GW,Detached,New Build,Freehold,21,,OAK ROAD,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621660000,-0.6815400000
200000,2019-10-11 00:00:00Z,YO43 3GW,Terraced,Established,Freehold,12,,OAK ROAD,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Additional,Addition,53.8621660000,-0.6815400000
309950,2019-11-08 00:00:00Z,YO43 3GW,Detached,New Build,Freehold,17,,OAK ROAD,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621660000,-0.6815400000
184950,2019-11-04 00:00:00Z,YO43 3GR,Semi-Detached,New Build,Freehold,22,,CHAPMAN DRIVE,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8634560000,-0.6819410000
49185,2019-02-28 00:00:00Z,YO43 3GS,Terraced,New Build,Freehold,10,,LIME CLOSE,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Additional,Addition,53.8631230000,-0.6819210000
70485,2019-07-31 00:00:00Z,YO43 3GR,Semi-Detached,New Build,Freehold,20,,CHAPMAN DRIVE,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Additional,Addition,53.8634560000,-0.6819410000
229950,2019-02-28 00:00:00Z,YO43 3GW,Detached,New Build,Freehold,7,,OAK ROAD,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621660000,-0.6815400000
289950,2019-09-27 00:00:00Z,YO43 3GW,Detached,New Build,Freehold,16,,OAK ROAD,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621660000,-0.6815400000
88200,2019-06-28 00:00:00Z,YO43 3GR,Other,New Build,Freehold,3,,CHAPMAN DRIVE,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Additional,Addition,53.8634560000,-0.6819410000
243500,2019-03-29 00:00:00Z,YO43 3GR,Detached,New Build,Freehold,28,,CHAPMAN DRIVE,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8634560000,-0.6819410000
284950,2019-03-29 00:00:00Z,YO43 3GU,Detached,New Build,Freehold,1,,CHESTNUT CLOSE,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8626230000,-0.6805990000
249950,2019-04-26 00:00:00Z,YO43 3GR,Detached,New Build,Freehold,27,,CHAPMAN DRIVE,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8634560000,-0.6819410000
249950,2019-04-30 00:00:00Z,YO43 3GR,Detached,New Build,Freehold,26,,CHAPMAN DRIVE,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8634560000,-0.6819410000
168500,2019-08-23 00:00:00Z,YO43 3EZ,Terraced,Established,Freehold,1,,SANDFIELD GREEN,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621030000,-0.6800140000
299950,2019-05-28 00:00:00Z,YO43 3GW,Detached,New Build,Freehold,27,,OAK ROAD,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621660000,-0.6815400000
188000,2019-11-29 00:00:00Z,YO43 3GW,Terraced,Established,Freehold,12,,OAK ROAD,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Additional,Addition,53.8621660000,-0.6815400000
181455,2019-06-28 00:00:00Z,YO43 3GR,Semi-Detached,New Build,Freehold,19,,CHAPMAN DRIVE,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Additional,Addition,53.8634560000,-0.6819410000
70485,2019-06-28 00:00:00Z,YO43 3GR,Semi-Detached,New Build,Freehold,18,,CHAPMAN DRIVE,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Additional,Addition,53.8634560000,-0.6819410000
189950,2019-06-21 00:00:00Z,YO43 3GR,Semi-Detached,New Build,Freehold,29,,CHAPMAN DRIVE,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8634560000,-0.6819410000
284950,2019-04-23 00:00:00Z,YO43 3GR,Detached,New Build,Freehold,1,,CHAPMAN DRIVE,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8634560000,-0.6819410000
50385,2019-02-28 00:00:00Z,YO43 3GS,Terraced,New Build,Freehold,11,,LIME CLOSE,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Additional,Addition,53.8631230000,-0.6819210000
180000,2019-12-06 00:00:00Z,YO43 3GR,Semi-Detached,New Build,Freehold,24,,CHAPMAN DRIVE,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8634560000,-0.6819410000
86000,2019-05-01 00:00:00Z,YO43 3GW,Terraced,Established,Leasehold,10,,OAK ROAD,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621660000,-0.6815400000
194950,2019-06-28 00:00:00Z,YO43 3GR,Semi-Detached,New Build,Freehold,23,,CHAPMAN DRIVE,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8634560000,-0.6819410000
380000,2020-11-23 00:00:00Z,YO43 3GW,Detached,Established,Freehold,"SANDFIELD LODGE, 15",,OAK ROAD,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621660000,-0.6815400000
260000,2020-05-29 00:00:00Z,YO43 3EZ,Detached,Established,Freehold,15,,SANDFIELD GREEN,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621030000,-0.6800140000
84000,2020-10-23 00:00:00Z,YO43 3GS,Semi-Detached,Established,Leasehold,1,,LIME CLOSE,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8631230000,-0.6819210000
247450,2021-01-12 00:00:00Z,YO43 3EZ,Detached,Established,Freehold,7,,SANDFIELD GREEN,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Additional,Addition,53.8621030000,-0.6800140000
185000,2021-09-17 00:00:00Z,YO43 3EZ,Semi-Detached,Established,Freehold,4,,SANDFIELD GREEN,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621030000,-0.6800140000
320000,2022-01-20 00:00:00Z,YO43 3GT,Detached,Established,Freehold,1,,MAPLE CLOSE,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8628360000,-0.6803790000
