380000,2018-12-14 00:00:00Z,TS22 5FN,Detached,Established,Freehold,19,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Additional,Addition,54.6400350000,-1.3264920000
171852,2018-04-20 00:00:00Z,TS22 5FQ,Semi-Detached,New Build,Freehold,2,,LYNNWOOD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Additional,Addition,54.6404740000,-1.3278630000
325995,2018-04-27 00:00:00Z,TS22 5FQ,Detached,New Build,Freehold,7,,LYNNWOOD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6404740000,-1.3278630000
299950,2018-07-27 00:00:00Z,TS22 5FJ,Detached,Established,Freehold,3,,ROSE VALE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6401080000,-1.3249720000
324200,2018-10-26 00:00:00Z,TS22 5FN,Detached,New Build,Freehold,59,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
334995,2018-10-26 00:00:00Z,TS22 5FN,Detached,New Build,Freehold,49,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
214995,2018-09-07 00:00:00Z,TS22 5FQ,Semi-Detached,New Build,Freehold,10,,LYNNWOOD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6404740000,-1.3278630000
249995,2018-01-25 00:00:00Z,TS22 5FQ,Semi-Detached,New Build,Freehold,23,,LYNNWOOD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6404740000,-1.3278630000
499995,2018-01-26 00:00:00Z,TS22 5FQ,Detached,New Build,Freehold,20,,LYNNWOOD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6404740000,-1.3278630000
374995,2018-01-26 00:00:00Z,TS22 5FQ,Detached,New Build,Freehold,21,,LYNNWOOD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6404740000,-1.3278630000
